Question,Answer,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,LLAMA,GPT4,DPR,Question,Answer,GPT3,RAG,MISTRAL,LLAMA3,LLAMA2_70B,LLAMA3_70B,CHATGPT
Which team won in women's volleyball in the most recent Summer Olympics that was held in London?,Brazil,,0.0,0.0,,,,,,,,,,,0.0,,,,,,,0.0,,,0.0,,0.0,,,0.0,,,1.0,,0.0,,,,,,,0.0,,,0.0,,,,,0.0,,,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,1.0,,0.0,0.0,,,,,,,1.0,0.0,,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,0.0,,0.0,0.0,,,,0.0,,,,,,,,0.0,,,0.0,,0.0,,,,0.0,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,,,,,0.0,,,,0.0,1.0,0.0,Which team won in women's volleyball in the most recent Summer Olympics that was held in London?,Brazil,1,1,1,1.0,0.0,1,1
What is the nickname of the easternmost U.S. state?,Pine Tree State,,,1.0,,,,,,,0.0,,,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,0.0,0.0,,,,1.0,,,1.0,,,,,,,,,,,,,0.0,,0.0,,,1.0,,,,0.0,,,,,,,1.0,,,,1.0,,,,1.0,,,,1.0,0.0,,,,,,,,0.0,,,,,1.0,,1.0,0.0,,,,0.0,,,,,0.0,,,,0.0,,,,,0.0,,,,,,,0.0,,,,,1.0,,,,0.0,,,,,1.0,,,,,,,,0.0,,,,0.0,1.0,0.0,What is the nickname of the easternmost U.S. state?,Pine Tree State,1,1,1,1.0,1.0,0,1
"What is the nickname for the state that is the home to the “Avocado Capital of the World""?",Golden State,,0.0,,,,,,0.0,,,,0.0,,,,,,0.0,,0.0,,,,1.0,,1.0,,,,,,,,,,,,,,1.0,,1.0,,0.0,,,1.0,,,,,,,,,,,,1.0,,0.0,,,,,,,1.0,0.0,,,,,,1.0,,,,,,0.0,,,,,,,,,,0.0,,1.0,,,1.0,,,,,,1.0,,0.0,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,0.0,,,,,,,1.0,,,,1.0,,1.0,,,,0.0,,,,,0.0,1.0,0.0,"What is the nickname for the state that is the home to the “Avocado Capital of the World""?",Golden State,0,0,0,0.0,0.0,0,0
What rocket was used for the mission that landed the first humans on the moon?,Saturn V,,,0.0,,1.0,0.0,,,,,,0.0,,,,,,1.0,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,,,,1.0,,,,,,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,0.0,,,0.0,,,,0.0,,,,1.0,,0.0,,1.0,,,,0.0,,,,,,,,,,0.0,,,,,,,0.0,,,,,,0.0,,,,,,,1.0,,,,0.0,,0.0,,,,,,,,,0.0,,1.0,,0.0,,,,,,1.0,,,0.0,,1.0,,,1.0,,,,,,0.0,,,,,1.0,,1.0,,,,0.0,1.0,0.0,What rocket was used for the mission that landed the first humans on the moon?,Saturn V,1,1,1,1.0,1.0,1,1
When did the war that Neil Armstrong served in end?,"July 27, 1953",,0.0,0.0,,,,,,1.0,,,,,,,0.0,,,,,,,,,,,,1.0,,,,,,0.0,,0.0,,,,,,0.0,0.0,,1.0,0.0,,,,,0.0,,,0.0,,0.0,,,0.0,,,,,,,,0.0,,,0.0,,,,0.0,,,0.0,,,,,,,,,,,,,0.0,,0.0,1.0,,0.0,,,,,,,,,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,1.0,,,,0.0,,,1.0,,,1.0,0.0,,,,0.0,,,,0.0,,,1.0,,,,,,1.0,,,0.0,1.0,0.0,When did the war that Neil Armstrong served in end?,"July 27, 1953",0,1,0,0.0,0.0,0,0
What is the nickname for the state that Mount Rainier is located in?,Evergreen State,1.0,,1.0,,,,,,,,0.0,,,,,,1.0,,,,,0.0,,,1.0,,,,,,,,0.0,,,,,,,0.0,,,0.0,,,,1.0,,,,,,,,,1.0,,1.0,,,,,,0.0,,,,,,,,,,,,1.0,,,0.0,,,,,1.0,,,1.0,,,,,,,,,,0.0,,,,,,,,,1.0,0.0,,,,,,,,,0.0,,,,,,1.0,,,,,0.0,,1.0,,,,,,,,,,,0.0,,0.0,1.0,,,,,,0.0,,,,,1.0,,,,,,,,,,,0.0,0.0,1.0,0.0,What is the nickname for the state that Mount Rainier is located in?,Evergreen State,0,1,1,1.0,1.0,1,1
When was the composer of Carol of the Bells born?,"December 13, 1877",,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,0.0,,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,0.0,,0.0,0.0,,0.0,,,0.0,,,,,,,,,,,0.0,,,,,,0.0,,,,,0.0,,,,,,,,0.0,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,0.0,,,0.0,,,,0.0,,,,,,0.0,,,0.0,1.0,0.0,When was the composer of Carol of the Bells born?,"December 13, 1877",0,1,0,0.0,0.0,0,1
Who is the father of the scientist at MIT that won the Queen Elizabeth Prize for Engineering in 2013?,Conway Berners-Lee,,,,,,0.0,,,,,,,0.0,,0.0,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,0.0,,,,0.0,,,,,,,,1.0,0.0,,,,,,,,,,0.0,,,,,,,0.0,0.0,,,,,,0.0,,,,,0.0,,,,,,0.0,,,,0.0,,,,0.0,,,0.0,,,,,0.0,,0.0,0.0,,,,,,,,,0.0,,,0.0,,,,0.0,,,,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,0.0,,,,0.0,0.0,,,,,,0.0,0.0,0.0,Who is the father of the scientist at MIT that won the Queen Elizabeth Prize for Engineering in 2013?,Conway Berners-Lee,0,0,0,0.0,0.0,0,0
Who was the mother of the emperor of Japan during World War I?,Yanagiwara Naruko,,,0.0,0.0,,,,,,,,,,,,,0.0,,0.0,0.0,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,0.0,0.0,,,,,,0.0,0.0,,0.0,,,,,,0.0,,,0.0,,0.0,,0.0,0.0,,,,,0.0,0.0,,,,,0.0,,,1.0,0.0,,,,,0.0,,,0.0,0.0,0.0,,,0.0,,,0.0,,,,,0.0,,,0.0,,,,,,,0.0,,,,,,0.0,0.0,0.0,,,,,,,,,,0.0,,,,,0.0,0.0,,0.0,,,,,,,,,0.0,,0.0,,,,,,,,0.0,,,,,,0.0,0.0,0.0,0.0,Who was the mother of the emperor of Japan during World War I?,Yanagiwara Naruko,0,0,0,0.0,0.0,0,0
Which element has an atomic number that is double that of hydrogen?,Helium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,Which element has an atomic number that is double that of hydrogen?,Helium,1,0,1,1.0,0.0,1,1
What was the motto of the Olympics that had Fuwa as the mascots?,"One World, One Dream",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,What was the motto of the Olympics that had Fuwa as the mascots?,"One World, One Dream",0,1,0,0.0,1.0,1,1
